,text,sentiment
36,"ramai yg tidak sedar dijangkiti #covid19 #omicron jika tidak saring.

@runzuerun https://t.co/hGYXWL8XBG",-2
37,@GuessGdlvl omicron aka bad covid variant,-4
38,rash sama red bumps bekas omicron kemarin aja masih ada gimana yang mpx ya.. https://t.co/uFbHQ4vt00,-3
39,"Waspada subvarian omicron baru.
Jgn abai Prokes &amp; lengkapi vaksinasi mu.

#TaatProkesPakaiMasker
Minggu Hapsun https://t.co/soNMJ8lHNY",2
40,"Waspada subvarian omicron baru.
Jgn abai Prokes &amp; lengkapi vaksinasi mu.

#TaatProkesPakaiMasker
Minggu Hapsun https://t.co/0rb3C9o74F",2
41,"Waspada subvarian omicron baru.
Jgn abai Prokes &amp; lengkapi vaksinasi mu.

#TaatProkesPakaiMasker
Minggu Hapsun https://t.co/l5032AWq0K",2
42,"Waspada subvarian omicron baru.
Jgn abai Prokes &amp; lengkapi vaksinasi mu.

#TaatProkesPakaiMasker
Minggu Hapsun https://t.co/4R6b78P2SC",2
43,"Caranya:
1. Minum obat antivirus
2. Minum vitamin C, D &amp; Zink
3. Rajin membersihkan mulut &amp; hidung
4. Berjemur
#omicron #cepatsembuh #isoman #covid19 https://t.co/4we6L4byJN",-16
44,"Epidemiologi Dicky Budiman menyatakan bhwa munculnya subvarian omicron BA.4.6 dpt membawa masalah baru jika masyarakat msh abai thd prokes dan tdk melaksanakan Vaksinasi hingga 3 dosis. Krn subvarian ini penularannya puluhan kali lbh cepat.

#TaatProkesPakaiMasker
Minggu Hapsun https://t.co/R9RLSrsvDo",4
45,@Askrlfess aku pas varian omicron nder wkwk selama 3 hari itu makan gda rasa trus ya pusing lemes gitu. Tapi pas omi kn emg masa virusnya tuh cepet nular tp cpt jga sembuhnya jadi seminggu itu udah enakan.,12
46,"@ubsansfess Allahu Akbar iki virus opo manehhh 🥲 onokk ae wingi corona, trus omicron, saiki cacar monyet, maringene opo maneh cacar singa, macan, buaya sue sue dadi kebu binatang🥲",1
47,"Penularan sub varian baru omicron BA.4.6 puluhan kali lebih cepat jika dibandingkan sub varian sebelumnya. Disarankan oleh Ahli Epidemiologi agar masyarakat mengakses Vaksinasi hingga 3 Dosis &amp; Disiplin Prokes.

Waspada pandemi belum usai.

#TaatProkesPakaiMasker
Minggu Hapsun https://t.co/Rg3yNbzd7J",8
48,booster dan penerapan prokes adalah dua kunci tak terpisahkan. mengingat kini muncul virus varian baru yang dinamakan omicron ba.4 dan ba.5. #dobdanotsusaspirasipapua #papuaindonesia https://t.co/phNDscG4oY,13
49,"@Naughty__Rabbit @perupadata Setelah hoax monkeypox dinyatakan who pandemi, skrg Delta dan omicron ga bs bedakan.

2-0",-5
50,Kesadaran yang rendah kemungkinan berkontribusi pada penyebaran cepat omicron. https://t.co/l01GMqXH60,0
51,@lodgeblossomm Lo sakit aligg kelarin omicron lo ini 🥲,-5
52,"""angep aja harga asli biar ga keliatan miskin"" kata ibu peri yg lagi diapelin omicron. https://t.co/0hmpWxUT8f",14
53,"@JayDhanavade13 Ye shows dekhkar bats par study karta ya phir virology seekh ki hoti to covid , omicron , monkey pox sub ke vaccines bana leta , socho aaj kitna paisa hota mere paas 💸💸💸💸💸💸💸💸💸💸😳 https://t.co/8m97YY5Eka",-6
54,"@TWTV_Telugu Appatiki Boycott gang hawa antha ledhu. Infact 83 kooda bagane adindhi, NWH bagane adindhi. Cross check chesko at the same time omicron okati",-7
55,"Dah jumawa gejala yg dialami ini ringan dibandingin geng serumah lainnya, taunya ini cuma nunggu semua deadline kerjaan beres trus semua gejala yg gaenak muncul di hari keempat.

Capeugha ni omicron meskipun ngademam, ngasesak, ngadiare, ngapusing.

Tenggorokan bhay banget haha",0
56,@aMrazing udh yg delta sm omicron👍,0
57,"@aMrazing Yg kutau, udah kena 2 kali 🙈 gelombang Maret 2021 dan gelombang omicron 🙈🙈",-7
58,"Diantara banyak bgt ide buat bikin au ngapa ya ada yg ngambil plot pas member idol covid?

Ga pernah ngerasain covid apa ya? Mau dikata omicron yg kata orang2 ringan2, w ngerasa hampir punya dua gelar karna covid abis ujian tesis.",5
59,kayaknya kemaren gw omicron deh https://t.co/lizpMZJ5w2,-3
60,@gyuhwaniee kmren aku kenak omicron seminggu udh negatif,0
61,"@PNS_Ababil Gatau si berapa kali 
1. Pas ramenya delta gak cek tapi sekeluarga meriang + anosmia, aku anosmia smpe 3 bulan lebih 
2. positip omicron sekeluarga tapi gakerasa apa-apa ketauan soalnya masku pcr positip",-1
62,"@Nomadslyf alpha, beta, gamma, omega, omicron bhi",-3
63,"Kayaknya belom kena, test swab terakhir oktober tahun 2021 setelah 2x vaksin. Nah gataudah selanjutnya. Ga ada test lagi.
Gosipnya yg demam masal itugejala omicron yah? Soalnya gua kena demam masal yg aneh itu https://t.co/SCm7KV3uEq",-10
64,@aMrazing Angkatan delta sama omicron,-5
65,"@aMrazing Juli 2021 alpha (kaya mo mati)
Januari 2022 betha (kena long covid, stlh negatif bronkitis kambuh parah)
April 2022 omicron (ga bergejala)

😄😄😄",-6
66,@aMrazing alumni delta omicron 😉,0
67,"@aMrazing abis vaksin ke 2 ttp kena delta, abis booster ttp kena omicron, mantappp 👍",0
68,@WHOSEARO @WHOIndonesia @WHOThailand @WHOMaldives @WHOSriLanka @WHOTLS @WHONepal Doctor ko jb pta hi nhi h ki korona h kya omicron h phir suaa q,3
69,@fad0p Ak jg binggung di kata pernah kena apa blm..soalnya gak pernah test juga.. pas omicron merajalela itu 1 kantor sakit semua.. tapi ak sehat jal 🤣,-5
70,"@aMrazing Udah kena, angkatan omicron",-8
71,"@aMrazing alhamdulillah udah 2x kena, yg terakhir omicron. insyaAllah udah itu yg terakhir 🥲",4
72,"Monmaap beberapa bulan lalu, kalo gasalah pas omicron lagi rame sempet liat cherrybelle comeback di sebuah program kuis di Trans TV, jadi opininya kaga valid. Sekian https://t.co/9Phl0JTd4B",7
73,"@girlgrouparea Monmaap beberapa bulan lalu, kalo gasalah pas omicron lagi rame sempet liat cherrybelle comeback di sebuah program kuis di Trans TV, jadi opininya kaga valid. Sekian",7
74,"Vaksinasi adalah kunci utama untuk melindungi diri sendiri dan orang-orang terdekat dari bahaya covid19 varian omicron BA.4 dan BA.5
#BangkitPulihIndonesia
Sigap Tangani Pandemi https://t.co/lfb5a2mvw1",4
75,@aMrazing Udah kena 2 kali delta sama omicron:),-3
76,@aMrazing alumni delta dan omicron,0
77,"@aMrazing Sekali positif dg hasil test lab, 1 lagi batuk, sakit tenggorokan, flu, badan panas dicurigai kena omicron tp ga test.",-6
78,"@aMrazing Dah 3x, tiap tren dah dicobain dari OTG, delta, sama omicron",0
79,"Katanya omicron cm kek flu biasa. Mana ada anjer nyiksa bgt gabisa tidur gueee batuk mulu gatel pol 😭😭😭😭

Naik turun jg kondisinya
Kek kmrn sore udh membaik bgt tb2 malemnya jeder menggigil demam😫",-25
80,@FoxNews oh yang membuat omicron jadi naik....,1
81,@aMrazing Kena 2x kohh. Delta dan omicron.,-3
82,"@Naughty__Rabbit @perupadata 0,5% death rate for unvaxed
0% death rate for vaxxed. 

Mau apalagi? Makanya omicron kan ga bikin collapse RS. 

Jadi gimana, masih mau prokes 100 tahun? Kamu saja ya. Manusia cerdas ga. Buktinya Eropa dan Amrik sudah los dol, stadiun bola penuh.",3
83,"@Naughty__Rabbit @perupadata Konspirasi teori terus. Ga ada ceritanya omicron lebih bahaya dari delta. Lebih menular iya.

Di Jepang sehari 200.000 kasus yg meninggal cuma 100.

Omicron itu cm menyerang kalo ga vaksin, itu pun death rate cuma 0,5% (untuk yg vaxxed literally 0%)",-17
84,"@Naughty__Rabbit @perupadata Baca linknya, yang neliti bukan saya. Memang semua orang yg kena pasti tes, kan nga. Wong 5 hari hilang sendiri.

Di sini sehari aja kall dites semua ya ada 1 juta daily, tapi omicron. Catet. Omicron. Makanya ga ada yg mati, ga ada rs collpse, ga ada lockdown.",-3
85,"@Naughty__Rabbit @perupadata Pengasong covid religion harus baca ini agar paham bedanya delta dan omicron.

https://t.co/4FDq4VOIwM",1
86,"@Naughty__Rabbit @perupadata Selain hoax, di sana juga ga ditulis omicron. Karena sampel omicron belum cukup, jd tak ada penelitian untuk itu.

Scr yg kelihatan saja, omicron ga bahaya, tapi 98% sudah kena. Jd dia hanya menular",-8
87,"@2020Excels @perupadata Sama aja penelitian yg baru2, omicron juga merusak otak. Google aja sendiri.

https://t.co/cuImerjebO",6
88,"@Naughty__Rabbit @perupadata Kalah argumen, nyerang bahasa lol.. bedakan delta dan omicron. Dari sourcenmu aja ketahuan kamu itu kudet, pantes fear terus, ya wong delta dan omicron dismaain😂😂🤦‍♂️

Covid akan selalu ada, mau 100 tahun kamu prokes? Padahal covid udah ga bahaya? #mikir",-10
89,"@Naughty__Rabbit @perupadata Delta dan omicron aja ga bs bedakan.
Smh... Ngasih source delta, pdhal udah ga ada delta skrg🤭

Pelajari lagi seberapa mild omicron itu. Biar ga fear terus",2
90,"@Naughty__Rabbit @perupadata Source mu kadaluarsa. Itu delta.

Ga bisa bedakan delta dan omicron, khas kebodohan (atau kesenajaan?) para pengaosng covid religion.",3
91,"@Naughty__Rabbit @perupadata Ga bs bedakan delta dan omicron, pantes fear terus👀 peace ya pengasong covid religion✌️

Sy udah kena brkali2 btw, sehat walafiat",4
92,"@Naughty__Rabbit @perupadata Ga bs bedakan delta dan omicron. Pantes fear ter us. Saya sudah kena beberapa kali, no effect cuy",0
93,"@adityarenggaa ketularan Ali AXA pak, ngobrol mbe dia eeee jebul deknen omicron 😅",-3
94,"@dr_koko28 Kadang malah ""ah ini mah jenisnya omicron biasa dok"" terus udah deh goodbye ngotot tetep pulang😥",0
95,"@aMrazing @kentangemsidi 2 kali, sblm delta &amp; omicron😁",0
96,"@Naughty__Rabbit @perupadata Kok km ky lebih tahu ya.🤦‍♂️ Jelas ditulis tak ada alokasi untuk covid. 

Artinya ga ada dana vaksin, atau nambah rs khusus covid. Nakes covid, Bahkan tes pun ada kemungkinan dikurangi signifikan.

Bedakn delta dengan omicron! Kalau gagal bedakan itu, wajar anda fear terus.",-10
97,"@aMrazing Alumni omicron hadiiir 👋🏻

Gils ini gejalanya ga kaya covid, no demam, no bapil, tau2 ambruk lemes negakin kepala aja gabisa. Luckily waktu kena udah 2x vax. Sembuh langsung ketatin prokes + booster. Gamau lagi 😩",-13
98,"@dr_koko28 https://t.co/jTI88KRtMF

Dok, Masa ga bs bedakan omicron dan delta?",6
99,"@iwiea @perupadata Anda akukan itu selama 100 tahun ya🤭 saya sih ogah, wong omicron mild. Bu Sri juga setuju.

https://t.co/jTI88KRtMF",1
100,"@perupadata Bu Sri Mulyani sudah sadar. Pengasong covid religion masih ga bs bedakan delta dan omicron?

https://t.co/jTI88KRtMF",4
101,"@nuicemedia Bu Sri Mulyani sudah sadar. Pengasong covid religion bagaimana? Masih belum bs bedakan delta dan omicron?

https://t.co/jTI88KRtMF",0
102,"@DanielS19494891 @minixboss_ @consequaence @TalkaboutBUMN Suami gw asma dan bengek, gak pernah ketauan kok setiap mcu 😅 wong dia asma bengek krn alergi debu 🤪. Makanya waktu kmrn pstf covid omicron, gw deg2an. 
Suamiku BUMN yg tiap tahun MCU dr kantor, btw 😁
&amp; Comorbid bukan hanya penyakit yang kakak sebut diatas aja loh 🙃🙃",-1
103,Untung bukan omicron https://t.co/FioYaKVqSB https://t.co/LSSRj5XXst,3
104,"Semenjak abis kena omicron, gue gampang bener bersin. dulu bersin paling pas baru bangun tidur sama nyium tumisan sambel",10
105,"At this point, gue ga bisa bedain omicron dan batuk pilek.",-4
106,"@SMQotaddah aku kena time delta last year,simptom teruk gila sakit badan berminggu2 baru hilang,skrg omicron still same effect atau lesser?",-5
107,"@Santzjs Aq lg radang tenggorokan, tmnku maksa blg aq batuk krn omicron 😤",-13
108,@alisyarief Kentut juga sebentar lagi bakal jadi gejala omicron,-4
109,"@96x0723 @LMFAIQ @sbyfess yo iso, coba cosplay macak ruwet, hape lemot, lak dikongkon ""yowis masuk ae""

utowo pas ruame, ngurai antrian ae dikon mlebu ae
masio jaman pasca delta, omicron sami mawon

mcd ae luwih ketat masio menungso seng mlebu jauh ngisore tp",-3
110,"@nadoyiee__ soalnya setau aku covid korea tuh skrg masi parah ga sih kyk omicron apa delta gitu yg batuk2 parah, kl di indo kan udh gejala ringan kan",-19
111,"@sbmptnfess 238
ngerjain pas kena omicron😭",-2
112,"@beebodally Saya jadi ingat Februari lalu kena, pas rame-ramenya omicron. Alhamdulillah, banyak minum, makan, dan istirahat jadi cepat sembuh meski dampaknya lingkar perut makin membesar...",8
113,"Akhirnya... Dapat booster ke 2 juga, langsung dari galur C19 asli... Efeknya lumayan mungkin karena kelelahan juga... embuh namanya apa tapi kemungkinan besar labelnya tertulis ""omicron"". 

Staycation dulu lah 10 hari kedepan...",2
114,@perupadata Masaakunmu ga bs bedakan delta dan omicron? @perupadata,2
115,@nikizefanya Gak perlu kuatir omicron hanya 5 hari recovery…. Gws nik,5
116,"@pengarang_sajak @KPK_RI Ngendus udh lama tapi hasilnya masih gelap, jangan-jangan kena omicron hidungnya ngga bisa nyium bau",-11
117,"@convomf mar: omicron, temen nginep dadakan
apr: masupp, kerkel kerkel kerkel
may: persiapan ujian, mengbucin
jun: sm kyk mei, cm agak..
jul: agak hampa tpi gpp
aug: METABOLISME, FOODFESS, KABEDON QUDA, PAK MEKDI",3
118,"@convomf mar: positif omicron right before my final exams
apr: ujian, ujian, ujian lagi
may: jadi yatim!! 🫡🫡
jun: jhs graduation, fotbar sm ex crush, ppdb
jul: culture shock masuk negeri
aug: https://t.co/CzqxIg0Sy2",7
119,@HakimXYQ @far_arghh @RoseMawarNervos Haha omicron teruih,5
120,Ayo kita jaga protokol kesehatan bulan Agustus ini diprediksi Puncak omicron BA.5 Ayo kita sukseskan program vaksinasi juga agar kita semua bisa terlindung dari covid 19. https://t.co/kg30CFzWAf,21
121,"Jaga prokes pada Agustus ini diprediksi puncak omicron BA.5

HUT77thRI https://t.co/lh4LUMNdZV",2
122,"Saat ini tidak perlu takut divaksin karena vaksin itu aman untuk kesehatan dan akan membentuk kekebalan tubuh dan terhindar dari virus Corona varian baru omicron BA.4 dan BA.5
#DOBTingkatkanKesejahteraan #PapuaIndonesia https://t.co/ghnfp7qwKY",0
123,"Breaking news.
Waralaba furniture terbesar asal Swedia,IKEA cabang Shanghai China,di kabarkan mengunci seluruh gedungnya, setelah adanya laporan tentang adanya sejumlah karyawan mereka yang terkonfirmasi positif Covid-19 varian omicron, akibatnya para pengunjung chaos.",16
124,AHADJABXNSJSKSISK pas omicron februari kemarin kita jadi pisah karna dirumahin dan ngga ada panggilan lagi,1
125,@lodgeblossomm Kamu kena omicron?,-3
126,"@Agent0829 Bangarraju evadiki istav ra.. rrr radheshyam bheemlanayak.. ila tier 1 and star directors bayapadi cinema postpone chesukunte.. #nagarjuna inspite of 50%occupancy, low rates, 3shows, omicron peak lo unapudu 40cr share kottadu adi 2022 ra Jaffa
#TheGhostOnOct5 
#theghost",-3
127,"@AQL20202 @mavin1818 @Rossali24295306 Vaksin mulu
Lama2 kita kaya ayam negri di suntik mulublum lagi sodara2 omicron pada dateng.suntik lagi 😑",1
128,"@nuicemedia Apapun yg berlebihan itu tidak baik. Contohnya ada di china ini, ga bs bedakan tingkat bahaya delta dan mildnya omicron.

https://t.co/nkuHPOEU0b",-5
129,"pak @mohmahfudmd tolong diungkap. omicron dah ngamuk ni, bahaya kali https://t.co/i2gJEgSn9N",-1
130,Kondisi pandemi masih relatif terkendali dibandingkan puncak delta atau omicron. https://t.co/nO74KPn7VX,-5
131,"@HengkyBisa @perupadata @jokowi @ProfesorZubairi @drpriono1 @tirta_cipeng Yg data anda berikan itu data delta. 
Data omicron beda, kematian hampir zero untuk vaxxed, jadi sudah tak realistis hidup ketakutan. Jangan jadikan ketakutan covid sbg agamamu. Sudah ya pak.",-33
132,"@notthatrose Tergantung berat apa ngga kak, tetangga aku omicron cuma yg 3 hari. Kalo aku sekeluarga sebulan sih karena yg delta lumayan berat.",7
133,"@xxfrelxx looh, kena covid delta ato omicron? semoga cepet pulih dan segera recovery

kabarku baik dan better daripada awal tahun '))",7
134,"@pandajelekbgt jangan lupa lunch ya!!!
jangan sampe perut kosong, karena sekarang rawan penyakit!!
perut kosong = imune lemah
imune lemah = kena omicron
kena omicron = gk bisa main twit krna sakit
gk bisa main twit = kangen
tuhkan mangknya jangan lupa lunch ya!!•̀.̫•́✧",-9
135,Disini sebentar lagi ada varian baru omicron rasa ayam geprek https://t.co/Jo7hOXc3p0,-1
136,"Ya ampun walaupun sakit, tp seneng aja gitu, karena masih ketrigger pas jaman omicron, mau ngapain2 susah, ga bisa gerak, semua linu-linu. Sedangkan skg masih bisa kesana kesini masio karo mletree 🥴🥴🥴",4
137,Vaksin untuk omicron baru keluar. Habis korang yang amik dos 1 smpai 4 tu vaksin outdated. Jgn buat2 terkejut. Ni common sense. https://t.co/1jRIqrUhak,4
138,@FarooquiJameel Waah corona virus k omicron version teri breaking news pe lakh di lanat,0
139,"dulu Corona
kini omicron
dulu sayang Bana
kini gagal move""on",5
140,"@convomf Yg hilang penciuman/perasa itu varian delta, banyaknya pas thn lalu. Yg sekarang banyaknya omicron dan emang masih bisa ngerasain makanan+nyium bau. Serahkan sama tenaga medis aja ya. Kabar bodong yg banyak nakut2in jgn didenger dulu. Kalo mau kamu bisa minta isoman nanti",26
141,"@aglioelioo @tanyakanrl akuu, Alhamdulillah gak kena. padahal waktu itu bapake omicron aku masih sempet ngerokin badannya, tapi pas dites negatif. aku juga udah 2 kali tes buat keperluan nyari kerja juga negatif",15
142,"Inggris menjadi negara pertama yang menyetujui vaksin COVID-19 yang menarget virus corona varian asli dan omicron.

https://t.co/nYostFvhAd",6
143,"@2020Excels @AdhityaPerdana1 @nuicemedia ya silahkan cari sendiri, banyak kok kalau mau cari, ngga perlu sampai keluar bumi 😂 yang pasti di omicron tetep ada long covid, bahkan BMJ juga bilang bisa jadi lebih lama long covid omicron",-8
144,@2020Excels @lalayeyekau @AdhityaPerdana1 @nuicemedia omicron tetap bisa kena long covid sonn😅,-3
145,"@lalayeyekau @ariomalv @AdhityaPerdana1 @nuicemedia Sepertinya anda sama seperti para brat di sini, ga bs bedakan delta dengan omicron",2
146,"@ariomalv @AdhityaPerdana1 @nuicemedia Ga ada penelitian long covid di omicron. Di luar negeri sudah new normal, stadiun MU kemarin lihat ga ada yg pake masker sama sekali. Amrik, Eropa sudah pintar",4
147,"@2020Excels @AdhityaPerdana1 @nuicemedia whatever sonn, toh berbagai penelitian lanjutan yang baru, diluar negeri, long covid tetap ada di omicron, itu diluar negeri yang terus dipantau, bukan diloss dolll kaya disini, well selain DKI sih, disana masih lumayan ketat",4
148,"[UPDATE] Covid-19 di Indonesia per 15 Agustus 2022, Kasus Positif Meningkat 3.588 dalam Sehari!

https://t.co/ayZirAChKJ 

#update #kasus #jumlah #pasien #positif #meninggal #dunia #sembuh #pemerintah #virus #corona #omicron #delta #covid19 #indonesia #prmn #pikiranrakyat",13
149,"Menurut dr. Maxi Rein… 

👉 Masih fluktuatif 
👉 Banyaknya subvarian omicron yang menyebabkan lama turun peak-nya. 
👉 Kekhawatiran muncul subvarian baru. 

Karena prediksinya mundur terus, masyarakat udah banyak banget yang ga peduli. Padahal waspada masih tetep perlu. 

(4/4) https://t.co/YGaNJVjGh8",9
150,"@jogjamnfs Halo nder. Aku jg dlu covid varian omicron panas tinggi 3hari, pusing, lemes, batuk, tapi indera perasa&amp;penciuman aman. Tau/nggaknya covid itu dr swab, bukan berdasarkan indera penciuman aja.
Aku dlu minum demacolin/fasidol paracetamol 650mg jg ngaruh nya bentar doang. (Cont)",3
151,"@pulpa_dentin Sebenar ny bulan ini, karna gara2 omicron sy gk bisa",-2
152,"seharian ngadepin laptop buka spss buat olah data, malemnya langsung tepar. dikirain efek samping gara2 mabok olah data, taunya aing omicron anjim🤝🏻 https://t.co/dywxivuxFO",-18
153,"Waspada penyebaran virus covid-19 varian omicron BA.4 dan BA.5, laksanakan vaksin dan tetap disiplin prokes https://t.co/9gC5Ho9ltR",7
154,"@ssefnum yang delta 14 hari, yang omicron 18 hari",0
155,@ridery @the_omicron @Adriandhy Dateng aja ke klinik bilang saya sakit pusing. Terus minta surat dokter. Abis itu reimburse kantor. .hehehe,-4
156,"@ssefnum Pas kena delta 2 minggu, pas omicron 10 hari.",3
157,"@the_omicron @Adriandhy Ditempatku kalo izin sakit mesti ada surat dokter, kalo gaada dipotong gaji 100rb. Padahal kadang masuk angin doang bisa sembuh sendiri tnp ke dokter 🤣",-16
158,"@dawiguna @StopPlandemit gua kmrin omicron dengan gejala sedang tp lumayan parah , badan lemes banget , batuk parah , anosmia tp gak pake obat apa apa alhamdulillah sembuh dengan seijin Allah
cuma isolasi mandiri n terakhir2 minum quths al hindi alhamdulillah sembuh
gak pake obat kopit kopit",-7
159,"@the_omicron Siap, Kak Dida. Berkenan untuk menginformasikan beberapa hal yang sudah Disya informasikan via DM terlebih dahulu guna dapat Disya tindaklanjuti dan interaksi selanjutnya bisa langsung via DM ya, Kak. Terima kasih. #YouAreFirst -Disya",13
160,"@ABisaapa @HabisNontonFilm momen nya kkn pas liburan lebaran n bocil punya banyak duit  plus abis omicron 🤣🤣🤣
kalo kita yg hobi nonton n nonton kkn bisa stress di bioskop krn bocil pasti norak jerit2

tp pengabdi ketan emg bagus sih cm krg serem gak seperti gua bayangin 🤣
alhamdulillanya gak ada bocil",-3
